,Team,RAPM
0,Abilene Christian,21.450000000000003
1,Alabama,37.32999999999999
2,Appalachian State,2.159999999999999
3,Arkansas,31.199999999999996
4,Baylor,46.480000000000004
5,Brigham Young,27.060000000000002
6,Clemson,22.53
7,Cleveland State,2.9600000000000013
8,Colgate,28.04
9,Colorado,34.03
10,Connecticut,29.63
11,Creighton,32.15
12,Drake,20.040000000000003
13,Drexel,10.16
14,Eastern Washington,14.18
15,Florida,23.71
16,Florida State,30.76
17,Georgetown,17.56
18,Georgia Tech,22.909999999999997
19,Gonzaga,47.71
20,Grand Canyon,12.18
21,Hartford,1.48
22,Houston,38.51
23,Illinois,43.21000000000001
24,Iona,5.55
25,Iowa,39.65
26,Kansas,23.63
27,Liberty,15.39
28,Louisiana State,26.58
29,Loyola (IL),35.61
30,Maryland,23.749999999999996
31,Michigan,34.120000000000005
32,Michigan State,14.2
33,Missouri,22.22
34,Morehead State,8.660000000000002
35,Mount St. Mary's,-6.1
36,Norfolk State,-2.57
37,North Carolina,29.1
38,North Carolina-Greensboro,18.12
39,North Texas,17.07
40,Ohio,16.830000000000002
41,Ohio State,33.75
42,Oklahoma,28.130000000000003
43,Oklahoma State,31.310000000000002
44,Oral Roberts,5.409999999999999
45,Oregon,24.569999999999993
46,Oregon State,12.58
47,Purdue,29.28
48,Rutgers,25.200000000000003
49,San Diego State,35.53
50,Southern California,26.51
51,St. Bonaventure,20.820000000000007
52,Syracuse,24.38
53,Tennessee,30.450000000000003
54,Texas,28.29
55,Texas Southern,-6.92
56,Texas Tech,30.09
57,UC-Santa Barbara,18.1
58,UCLA,18.93
59,Utah State,21.96
60,Villanova,24.65
61,Virginia,29.659999999999997
62,Virginia Commonwealth,24.030000000000005
63,Virginia Tech,23.54
64,West Virginia,28.97
65,Wichita State,15.98
66,Winthrop,19.99
67,Wisconsin,32.9
